idx,needle_pixel_ratio,loss_bce,loss_dice,loss_focal,loss_combined,dice,iou,dice_testpy,iou_testpy
76,0.01025390625,0.6903203725814819,0.9715455174446106,0.13801805675029755,1.7308749184012413,0.8330995793596777,0.713942308036127,0.405594406287186,0.2543859660023597
77,0.0160675048828125,0.6916130185127258,0.9559069275856018,0.13992677628993988,1.7174833342432976,0.7182921725750139,0.560418027720171,0.6089482861075257,0.43776106980972335
78,0.0028839111328125,0.6923328638076782,0.991595447063446,0.13848046958446503,1.7531685456633568,0.7908045981820584,0.6539923967528806,0.7046979875681275,0.5440414531396816
79,0.007965087890625,0.690544843673706,0.975924551486969,0.13825134932994843,1.7355950698256493,0.8339416059909291,0.7151799691468232,0.7412587415603045,0.5888888896502058
80,0.0115509033203125,0.6906850934028625,0.9663625955581665,0.13889534771442413,1.7264953628182411,0.8160851568207658,0.6893106896210682,0.6263829790413761,0.4560099139330732
81,0.013427734375,0.6888726353645325,0.960119366645813,0.1381140500307083,1.7180490270256996,0.8493462195285126,0.7381422927488712,0.7383561645627698,0.58523344236131
82,0.0145416259765625,0.6886430978775024,0.956451416015625,0.13823573291301727,1.714212380349636,0.8606719368277312,0.7554206420161138,0.4730679161022108,0.30981595162595504
83,0.010467529296875,0.690556526184082,0.9688458442687988,0.13848954439163208,1.728647142648697,0.7418300655000926,0.5896103899657053,0.7677806343035298,0.6230876222210187
84,0.0082855224609375,0.6946209669113159,0.9784557223320007,0.1408097743988037,1.7434815764427185,0.5400161685206013,0.3698781845294815,0.46347032024718,0.3016344735488344
85,0.00750732421875,0.6921924352645874,0.9818769693374634,0.13846266269683838,1.74330073595047,0.6470588239138793,0.478260870405377,0.40381558123399747,0.25298804929683655
86,0.0092315673828125,0.6912120580673218,0.9713579416275024,0.1390763223171234,1.732108160853386,0.725826193558246,0.5696445729398226,0.7416587228392194,0.5893939400160698
87,0.0084381103515625,0.6919562816619873,0.9778085947036743,0.13862450420856476,1.739077128469944,0.7362146052636254,0.5825471703036,0.4100418418269988,0.2578947381440443
88,0.0038604736328125,0.6920609474182129,0.988756537437439,0.13845989108085632,1.75004743039608,0.8460111320111111,0.7331189719192316,0.666666667514843,0.5000000019083969
89,0.009368896484375,0.6929377317428589,0.9709765315055847,0.14049646258354187,1.7341624945402145,0.6894553883606863,0.5260831127090334,0.7210884356113193,0.5638297878140561
